sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b652c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:06 +0100,2019-02-14 07:07:01 +0100,2019-02-14 07:07:01 +0100,100
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65360>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:11 +0100,2019-02-14 07:07:10 +0100,2019-02-14 07:07:10 +0100,100
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65400>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:16 +0100,2019-02-14 07:07:11 +0100,2019-02-14 07:07:11 +0100,100
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b654a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:21 +0100,2019-02-14 07:07:20 +0100,2019-02-14 07:07:20 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65540>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:26 +0100,2019-02-14 07:07:21 +0100,2019-02-14 07:07:21 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b655e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:31 +0100,2019-02-14 07:07:26 +0100,2019-02-14 07:07:26 +0100,97
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65680>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:36 +0100,2019-02-14 07:07:31 +0100,2019-02-14 07:07:31 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65720>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:41 +0100,2019-02-14 07:07:37 +0100,2019-02-14 07:07:37 +0100,96
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b657c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:07:56 +0100,2019-02-14 07:07:55 +0100,2019-02-14 07:07:55 +0100,93
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65860>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:01 +0100,2019-02-14 07:07:58 +0100,2019-02-14 07:07:58 +0100,92
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65900>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:06 +0100,2019-02-14 07:08:01 +0100,2019-02-14 07:08:01 +0100,90
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b659a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:11 +0100,2019-02-14 07:08:10 +0100,2019-02-14 07:08:10 +0100,93
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65a40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:16 +0100,2019-02-14 07:08:11 +0100,2019-02-14 07:08:11 +0100,93
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65ae0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:20 +0100,2019-02-14 07:08:20 +0100,2019-02-14 07:08:20 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65b80>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:25 +0100,2019-02-14 07:08:21 +0100,2019-02-14 07:08:21 +0100,99
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65c20>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:30 +0100,2019-02-14 07:08:30 +0100,2019-02-14 07:08:30 +0100,101
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65cc0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:35 +0100,2019-02-14 07:08:31 +0100,2019-02-14 07:08:31 +0100,102
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65d60>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:40 +0100,2019-02-14 07:08:36 +0100,2019-02-14 07:08:36 +0100,100
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65e00>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:46 +0100,2019-02-14 07:08:41 +0100,2019-02-14 07:08:41 +0100,98
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65ea0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:51 +0100,2019-02-14 07:08:48 +0100,2019-02-14 07:08:48 +0100,95
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65f40>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:08:56 +0100,2019-02-14 07:08:51 +0100,2019-02-14 07:08:51 +0100,96
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b65fe0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:01 +0100,2019-02-14 07:08:56 +0100,2019-02-14 07:08:56 +0100,97
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66080>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:06 +0100,2019-02-14 07:09:05 +0100,2019-02-14 07:09:05 +0100,90
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66120>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:11 +0100,2019-02-14 07:09:10 +0100,2019-02-14 07:09:10 +0100,88
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b661c0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:16 +0100,2019-02-14 07:09:13 +0100,2019-02-14 07:09:13 +0100,89
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66260>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:21 +0100,2019-02-14 07:09:16 +0100,2019-02-14 07:09:16 +0100,91
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66300>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:26 +0100,2019-02-14 07:09:21 +0100,2019-02-14 07:09:21 +0100,88
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b663a0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:31 +0100,2019-02-14 07:09:26 +0100,2019-02-14 07:09:26 +0100,88
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66440>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:36 +0100,2019-02-14 07:09:35 +0100,2019-02-14 07:09:35 +0100,90
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b664e0>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:41 +0100,2019-02-14 07:09:36 +0100,2019-02-14 07:09:36 +0100,90
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66580>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:09:46 +0100,2019-02-14 07:09:41 +0100,2019-02-14 07:09:41 +0100,92
"Tazi’s Apple Watch","5.1.3","<<HKDevice: 0x282b66620>, name:Apple Watch, manufacturer:Apple, model:Watch, hardware:Watch4,3, software:5.1.3>","HeartRate","count/min",2019-02-14 07:10:10 +0100,2019-02-14 07:10:10 +0100,2019-02-14 07:10:10 +0100,104
